co_code,company_name,date,bse_closing_price,bse_traded_qty,bse_avg_rate,bse_market_cap,nse_opening_price,nse_high_price,nse_low_price,nse_closing_price,nse_returns,nse_traded_qty,nse_traded_val,nse_avg_rate,nse_market_cap,nse_pe,nse_pb,nse_bv_per_share,equity_shares_on_stkdate,KZ Index,Ownership,Quartile
384616,P C JEWELLER LTD.,2019-03-27,80.45,776903.0,80.63,31749.4306,80.1,81.75,79.65,80.45,1.0,6247348.0,503.3,80.57,31749.4306,6.5075,0.7383,108.9596,394647987.0,-10.56711965025795,Private (Indian),1
384616,P C JEWELLER LTD.,2019-03-28,82.3,802646.0,81.89,32479.5293,80.5,83.25,80.05,82.5,1.03,7264795.0,594.6,81.85,32558.4589,6.6733,0.7572,108.9596,394647987.0,-10.56711965025795,Private (Indian),1
384616,P C JEWELLER LTD.,2019-03-29,82.5,1493917.0,83.54,32558.4589,83.4,84.8,81.6,82.2,1.0,7379619.0,613.8,83.17,32440.0645,6.6491,0.7544,108.9596,394647987.0,-10.56711965025795,Private (Indian),1
385193,T C I EXPRESS LTD.,2019-03-01,648.55,476.0,647.45,24846.3558,648.9,653.0,633.0,647.3,1.01,6423.0,4.1,645.66,24798.4676,35.8049,9.6144,67.326,38310625.0,-0.9633378741446349,TCI-Bhoruka Group,2
385193,T C I EXPRESS LTD.,2019-03-05,654.55,3191.0,656.51,25076.2196,642.55,668.0,642.55,660.1,1.02,10166.0,6.7,654.4,25288.8436,36.5129,9.8045,67.326,38310625.0,-0.9633378741446349,TCI-Bhoruka Group,2
385193,T C I EXPRESS LTD.,2019-03-06,687.65,2080.0,679.79,26344.3013,655.05,692.8,655.05,687.4,1.04,17763.0,12.1,679.05,26334.7236,38.023,10.21,67.326,38310625.0,-0.9633378741446349,TCI-Bhoruka Group,2
385193,T C I EXPRESS LTD.,2019-03-07,744.05,18472.0,725.8,28505.0205,680.05,749.0,673.75,741.0,1.08,74113.0,54.3,732.14,28388.1731,40.9878,11.0062,67.326,38310625.0,-0.9633378741446349,TCI-Bhoruka Group,2
385193,T C I EXPRESS LTD.,2019-03-08,706.2,5655.0,712.2,27054.9634,741.0,741.9,691.65,704.25,0.95,49385.0,35.1,710.27,26980.2577,38.955,10.4603,67.326,38310625.0,-0.9633378741446349,TCI-Bhoruka Group,2
385193,T C I EXPRESS LTD.,2019-03-11,696.05,2367.0,698.02,26666.1105,707.75,711.1,695.0,698.6,0.99,9295.0,6.5,701.22,26763.8026,38.6425,10.3764,67.326,38310625.0,-0.9633378741446349,TCI-Bhoruka Group,2
385193,T C I EXPRESS LTD.,2019-03-12,732.75,3876.0,723.4,28072.1105,698.15,737.0,698.15,732.25,1.05,31738.0,22.9,722.4,28052.9552,40.5038,10.8762,67.326,38310625.0,-0.9633378741446349,TCI-Bhoruka Group,2
385193,T C I EXPRESS LTD.,2019-03-13,738.35,6102.0,744.25,28286.65,741.0,767.7,720.15,743.6,1.02,56541.0,42.2,746.92,28487.7807,41.1316,11.0448,67.326,38310625.0,-0.9633378741446349,TCI-Bhoruka Group,2
385193,T C I EXPRESS LTD.,2019-03-14,743.75,2569.0,721.95,28493.5273,742.95,750.0,717.25,748.25,1.01,20722.0,15.3,740.11,28665.9252,41.3889,11.1138,67.326,38310625.0,-0.9633378741446349,TCI-Bhoruka Group,2
385193,T C I EXPRESS LTD.,2019-03-15,723.85,470.0,727.6,27731.1459,735.0,740.9,720.3,724.95,0.97,10206.0,7.4,728.93,27773.2876,40.1,10.7678,67.326,38310625.0,-0.9633378741446349,TCI-Bhoruka Group,2
385193,T C I EXPRESS LTD.,2019-03-18,726.45,2032.0,728.12,27830.7535,728.65,739.9,721.05,724.15,1.0,10218.0,7.5,729.23,27742.6391,40.0558,10.7559,67.326,38310625.0,-0.9633378741446349,TCI-Bhoruka Group,2
385193,T C I EXPRESS LTD.,2019-03-19,703.05,454.0,709.49,26934.2849,727.85,727.85,695.5,701.25,0.97,6934.0,4.9,708.18,26865.3258,38.7891,10.4157,67.326,38310625.0,-0.9633378741446349,TCI-Bhoruka Group,2
385193,T C I EXPRESS LTD.,2019-03-20,712.8,429.0,708.52,27307.8135,706.9,719.7,699.5,714.0,1.02,13470.0,9.6,709.84,27353.7862,39.4943,10.6051,67.326,38310625.0,-0.9633378741446349,TCI-Bhoruka Group,2
385193,T C I EXPRESS LTD.,2019-03-22,730.8,917.0,728.93,27997.4047,705.2,739.0,705.2,730.9,1.02,19135.0,13.9,728.68,28001.2358,40.4292,10.8561,67.326,38310625.0,-0.9633378741446349,TCI-Bhoruka Group,2
385193,T C I EXPRESS LTD.,2019-03-25,728.3,1272.0,727.53,27901.6282,734.9,737.2,720.3,730.3,1.0,15535.0,11.3,730.23,27978.2494,40.396,10.8472,67.326,38310625.0,-0.9633378741446349,TCI-Bhoruka Group,2
385193,T C I EXPRESS LTD.,2019-03-26,729.15,368.0,727.08,27934.1922,734.9,734.9,719.85,729.3,1.0,8488.0,6.2,725.05,27939.9388,40.3407,10.8324,67.326,38310625.0,-0.9633378741446349,TCI-Bhoruka Group,2
385193,T C I EXPRESS LTD.,2019-03-27,739.25,4663.0,725.26,28321.1295,720.1,739.0,716.55,732.05,1.0,38651.0,28.0,723.83,28045.293,40.4928,10.8732,67.326,38310625.0,-0.9633378741446349,TCI-Bhoruka Group,2
385193,T C I EXPRESS LTD.,2019-03-28,735.2,7351.0,734.17,28165.9715,725.0,749.0,725.0,738.0,1.01,60882.0,44.6,733.35,28273.2412,40.8219,10.9616,67.326,38310625.0,-0.9633378741446349,TCI-Bhoruka Group,2
385193,T C I EXPRESS LTD.,2019-03-29,734.25,3292.0,732.78,28129.5764,747.0,757.95,727.0,746.45,1.01,33665.0,25.1,745.65,28596.966,41.2893,11.0871,67.326,38310625.0,-0.9633378741446349,TCI-Bhoruka Group,2
385601,TUBE INVESTMENTS OF INDIA LTD.,2019-03-01,365.1,2268.0,363.33,68530.3711,360.25,370.0,356.45,366.05,1.02,92508.0,33.8,364.93,68708.689,29.575,4.8936,74.8011,187703016.0,-0.9781969592949888,Murugappa Chettiar Group,2
385601,TUBE INVESTMENTS OF INDIA LTD.,2019-03-05,377.95,7525.0,373.07,70942.3549,366.0,383.5,366.0,380.0,1.04,143151.0,53.4,373.04,71327.1461,30.7021,5.0801,74.8011,187703016.0,-0.9781969592949888,Murugappa Chettiar Group,2
385601,TUBE INVESTMENTS OF INDIA LTD.,2019-03-06,377.95,2589.0,379.17,70942.3549,380.0,384.0,374.1,379.85,1.0,63910.0,24.2,378.96,71298.9906,30.69,5.0781,74.8011,187703016.0,-0.9781969592949888,Murugappa Chettiar Group,2
385601,TUBE INVESTMENTS OF INDIA LTD.,2019-03-07,384.4,522960.0,389.91,72153.0394,384.0,397.45,379.6,384.85,1.01,679160.0,264.5,389.49,72237.5057,31.094,5.145,74.8011,187703016.0,-0.9781969592949888,Murugappa Chettiar Group,2
385601,TUBE INVESTMENTS OF INDIA LTD.,2019-03-08,383.6,3064.0,380.25,72002.8769,387.95,388.75,371.45,380.85,0.99,27341.0,10.4,379.23,71486.6936,30.7708,5.0915,74.8011,187703016.0,-0.9781969592949888,Murugappa Chettiar Group,2
385601,TUBE INVESTMENTS OF INDIA LTD.,2019-03-11,379.6,2080.0,379.53,71252.0649,382.0,384.95,374.0,379.15,1.0,17325.0,6.6,379.47,71167.5985,30.6334,5.0688,74.8011,187703016.0,-0.9781969592949888,Murugappa Chettiar Group,2
385601,TUBE INVESTMENTS OF INDIA LTD.,2019-03-12,382.45,2157.0,382.17,71787.0185,379.6,387.4,376.8,379.2,1.0,35171.0,13.4,381.28,71176.9837,30.6375,5.0694,74.8011,187703016.0,-0.9781969592949888,Murugappa Chettiar Group,2
385601,TUBE INVESTMENTS OF INDIA LTD.,2019-03-13,385.75,2393.0,381.27,72406.4384,384.6,386.0,373.0,383.9,1.01,27936.0,10.6,380.92,72059.1878,31.0172,5.1323,74.8011,187703016.0,-0.9781969592949888,Murugappa Chettiar Group,2
385601,TUBE INVESTMENTS OF INDIA LTD.,2019-03-14,382.7,1034.0,380.72,71833.9442,384.0,384.75,380.0,382.6,1.0,19666.0,7.5,381.43,71815.1739,30.9122,5.1149,74.8011,187703016.0,-0.9781969592949888,Murugappa Chettiar Group,2
385601,TUBE INVESTMENTS OF INDIA LTD.,2019-03-15,413.35,100154.0,416.71,77587.0417,381.0,434.0,381.0,414.45,1.08,1130039.0,470.4,416.26,77793.515,33.4855,5.5407,74.8011,187703016.0,-0.9781969592949888,Murugappa Chettiar Group,2
385601,TUBE INVESTMENTS OF INDIA LTD.,2019-03-18,401.65,16815.0,404.82,75390.9164,419.8,419.9,399.0,401.15,0.97,94989.0,38.5,405.53,75297.0649,32.4109,5.3629,74.8011,187703016.0,-0.9781969592949888,Murugappa Chettiar Group,2
385601,TUBE INVESTMENTS OF INDIA LTD.,2019-03-19,385.1,8037.0,390.3,72284.4315,402.1,402.75,381.7,383.95,0.96,56350.0,22.0,390.05,72068.573,31.0213,5.1329,74.8011,187703016.0,-0.9781969592949888,Murugappa Chettiar Group,2
385601,TUBE INVESTMENTS OF INDIA LTD.,2019-03-20,370.75,4782.0,375.51,69590.8932,386.8,387.95,368.0,370.8,0.97,146996.0,55.5,377.31,69600.2783,29.9588,4.9571,74.8011,187703016.0,-0.9781969592949888,Murugappa Chettiar Group,2
